Sample,Subpopulation,Superpopulation
HG03300,ESN,Africa
HG03301,ESN,Africa
HG03302,ESN,Africa
HG03303,ESN,Africa
HG03304,ESN,Africa
HG03305,ESN,Africa
HG03306,ESN,Africa
HG03307,ESN,Africa
HG03308,ESN,Africa
HG03309,ESN,Africa
HG03310,ESN,Africa
HG03311,ESN,Africa
HG03312,ESN,Africa
HG03313,ESN,Africa
HG03314,ESN,Africa
HG03339,ESN,Africa
HG03341,ESN,Africa
HG03342,ESN,Africa
HG03343,ESN,Africa
HG03344,ESN,Africa
HG03350,ESN,Africa
HG03351,ESN,Africa
HG03352,ESN,Africa
HG03354,ESN,Africa
HG03361,ESN,Africa
HG03362,ESN,Africa
HG03363,ESN,Africa
HG03365,ESN,Africa
HG03366,ESN,Africa
HG03367,ESN,Africa
HG03368,ESN,Africa
HG03369,ESN,Africa
HG03370,ESN,Africa
HG03371,ESN,Africa
HG03372,ESN,Africa
HG03373,ESN,Africa
HG03374,ESN,Africa
HG03376,MSL,Africa
HG03378,MSL,Africa
HG03380,MSL,Africa
HG03381,MSL,Africa
HG03382,MSL,Africa
HG03383,MSL,Africa
HG03384,MSL,Africa
HG03385,MSL,Africa
HG03388,MSL,Africa
HG03390,MSL,Africa
HG03391,MSL,Africa
HG03393,MSL,Africa
HG03394,MSL,Africa
HG03397,MSL,Africa
HG03398,MSL,Africa
HG03399,MSL,Africa
HG03401,MSL,Africa
HG03402,MSL,Africa
HG03408,MSL,Africa
HG03410,MSL,Africa
HG03411,MSL,Africa
HG03419,MSL,Africa
HG03428,MSL,Africa
HG03431,MSL,Africa
HG03432,MSL,Africa
HG03433,MSL,Africa
HG03436,MSL,Africa
HG03437,MSL,Africa
HG03438,MSL,Africa
HG03439,MSL,Africa
HG03442,MSL,Africa
HG03445,MSL,Africa
HG03446,MSL,Africa
HG03449,MSL,Africa
HG03450,MSL,Africa
HG03451,MSL,Africa
HG03452,MSL,Africa
HG03453,MSL,Africa
HG03454,MSL,Africa
HG03455,MSL,Africa
HG03456,MSL,Africa
HG03457,MSL,Africa
HG03458,MSL,Africa
HG03459,MSL,Africa
HG03460,MSL,Africa
HG03461,MSL,Africa
HG03462,MSL,Africa
HG03464,MSL,Africa
HG03465,MSL,Africa
HG03466,MSL,Africa
HG03468,MSL,Africa
HG03469,MSL,Africa
HG03470,MSL,Africa
HG03471,MSL,Africa
HG03472,MSL,Africa
HG03473,MSL,Africa
HG03474,MSL,Africa
HG03476,MSL,Africa
HG03477,MSL,Africa
HG03478,MSL,Africa
HG03479,MSL,Africa
HG03480,MSL,Africa
HG03484,MSL,Africa
HG03485,MSL,Africa
HG03486,MSL,Africa
HG03487,PJL,South Asia
HG03488,PJL,South Asia
HG03489,PJL,South Asia
HG03490,PJL,South Asia
HG03491,PJL,South Asia
HG03492,PJL,South Asia
HG03493,ESN,Africa
HG03499,ESN,Africa
HG03508,ESN,Africa
HG03510,ESN,Africa
HG03511,ESN,Africa
HG03513,ESN,Africa
HG03514,ESN,Africa
HG03515,ESN,Africa
HG03516,ESN,Africa
HG03517,ESN,Africa
HG03518,ESN,Africa
HG03519,ESN,Africa
HG03520,ESN,Africa
HG03521,ESN,Africa
HG03522,ESN,Africa
HG03538,GWD,Africa
HG03539,GWD,Africa
HG03540,GWD,Africa
HG03547,MSL,Africa
HG03548,MSL,Africa
HG03549,MSL,Africa
HG03556,MSL,Africa
HG03557,MSL,Africa
HG03558,MSL,Africa
HG03559,MSL,Africa
HG03563,MSL,Africa
HG03564,MSL,Africa
HG03565,MSL,Africa
HG03566,MSL,Africa
HG03567,MSL,Africa
HG03569,MSL,Africa
HG03571,MSL,Africa
HG03572,MSL,Africa
HG03574,MSL,Africa
HG03575,MSL,Africa
HG03576,MSL,Africa
HG03577,MSL,Africa
HG03578,MSL,Africa
HG03579,MSL,Africa
HG03582,MSL,Africa
HG03583,MSL,Africa
HG03584,MSL,Africa
HG03585,BEB,South Asia
HG03587,BEB,South Asia
HG03589,BEB,South Asia
HG03590,BEB,South Asia
HG03593,BEB,South Asia
HG03594,BEB,South Asia
HG03595,BEB,South Asia
HG03596,BEB,South Asia
HG03598,BEB,South Asia
HG03599,BEB,South Asia
HG03600,BEB,South Asia
HG03602,BEB,South Asia
HG03603,BEB,South Asia
HG03604,BEB,South Asia
HG03605,BEB,South Asia
HG03606,BEB,South Asia
HG03607,BEB,South Asia
HG03611,BEB,South Asia
HG03615,BEB,South Asia
HG03616,BEB,South Asia
HG03617,BEB,South Asia
HG03618,PJL,South Asia
HG03619,PJL,South Asia
HG03620,PJL,South Asia
HG03621,PJL,South Asia
HG03624,PJL,South Asia
HG03625,PJL,South Asia
HG03626,PJL,South Asia
HG03629,PJL,South Asia
HG03631,PJL,South Asia
HG03633,PJL,South Asia
HG03634,PJL,South Asia
HG03635,PJL,South Asia
HG03636,PJL,South Asia
HG03638,PJL,South Asia
HG03639,PJL,South Asia
HG03640,PJL,South Asia
HG03641,PJL,South Asia
HG03642,STU,South Asia
HG03643,STU,South Asia
HG03644,STU,South Asia
HG03645,STU,South Asia
HG03646,STU,South Asia
HG03649,PJL,South Asia
HG03650,PJL,South Asia
HG03651,PJL,South Asia
HG03652,PJL,South Asia
HG03653,PJL,South Asia
HG03654,PJL,South Asia
HG03656,PJL,South Asia
HG03657,PJL,South Asia
HG03660,PJL,South Asia
HG03663,PJL,South Asia
HG03667,PJL,South Asia
HG03668,PJL,South Asia
HG03669,PJL,South Asia
HG03672,STU,South Asia
HG03673,STU,South Asia
HG03679,STU,South Asia
HG03680,STU,South Asia
HG03681,STU,South Asia
HG03682,STU,South Asia
HG03683,STU,South Asia
HG03684,STU,South Asia
HG03685,STU,South Asia
HG03686,STU,South Asia
HG03687,STU,South Asia
HG03688,STU,South Asia
HG03689,STU,South Asia
HG03690,STU,South Asia
HG03691,STU,South Asia
HG03692,STU,South Asia
HG03693,STU,South Asia
HG03694,STU,South Asia
HG03695,STU,South Asia
HG03696,STU,South Asia
HG03697,STU,South Asia
HG03698,STU,South Asia
HG03699,PJL,South Asia
HG03700,PJL,South Asia
HG03701,PJL,South Asia
HG03702,PJL,South Asia
HG03703,PJL,South Asia
HG03704,PJL,South Asia
HG03705,PJL,South Asia
HG03706,PJL,South Asia
HG03707,PJL,South Asia
HG03708,PJL,South Asia
HG03709,PJL,South Asia
HG03710,PJL,South Asia
HG03711,STU,South Asia
HG03713,ITU,South Asia
HG03714,ITU,South Asia
HG03715,ITU,South Asia
HG03716,ITU,South Asia
HG03717,ITU,South Asia
HG03718,ITU,South Asia
HG03719,ITU,South Asia
HG03720,ITU,South Asia
HG03721,ITU,South Asia
HG03722,ITU,South Asia
HG03723,ITU,South Asia
HG03725,ITU,South Asia
HG03727,ITU,South Asia
HG03729,ITU,South Asia
HG03730,ITU,South Asia
HG03731,ITU,South Asia
HG03732,ITU,South Asia
HG03733,STU,South Asia
HG03736,STU,South Asia
HG03738,STU,South Asia
HG03740,STU,South Asia
HG03741,STU,South Asia
HG03742,ITU,South Asia
HG03743,STU,South Asia
HG03744,STU,South Asia
HG03745,STU,South Asia
HG03746,STU,South Asia
HG03750,STU,South Asia
HG03752,STU,South Asia
HG03753,STU,South Asia
HG03754,STU,South Asia
HG03755,STU,South Asia
HG03756,STU,South Asia
HG03757,STU,South Asia
HG03760,STU,South Asia
HG03761,PJL,South Asia
HG03762,PJL,South Asia
HG03763,PJL,South Asia
HG03765,PJL,South Asia
HG03766,PJL,South Asia
HG03767,PJL,South Asia
HG03769,PJL,South Asia
HG03770,ITU,South Asia
HG03771,ITU,South Asia
HG03772,ITU,South Asia
HG03773,ITU,South Asia
HG03774,ITU,South Asia
HG03775,ITU,South Asia
HG03777,ITU,South Asia
HG03778,ITU,South Asia
HG03779,ITU,South Asia
HG03780,ITU,South Asia
HG03781,ITU,South Asia
HG03782,ITU,South Asia
HG03783,ITU,South Asia
HG03784,ITU,South Asia
HG03785,ITU,South Asia
HG03786,ITU,South Asia
HG03787,ITU,South Asia
HG03788,ITU,South Asia
HG03789,ITU,South Asia
HG03790,ITU,South Asia
HG03792,ITU,South Asia
HG03793,BEB,South Asia
HG03794,BEB,South Asia
HG03795,BEB,South Asia
HG03796,BEB,South Asia
HG03797,BEB,South Asia
HG03798,BEB,South Asia
HG03799,BEB,South Asia
HG03800,BEB,South Asia
HG03801,BEB,South Asia
HG03802,BEB,South Asia
HG03803,BEB,South Asia
HG03804,BEB,South Asia
HG03805,BEB,South Asia
HG03806,BEB,South Asia
HG03807,BEB,South Asia
HG03808,BEB,South Asia
HG03809,BEB,South Asia
HG03811,BEB,South Asia
HG03812,BEB,South Asia
HG03813,BEB,South Asia
HG03814,BEB,South Asia
HG03815,BEB,South Asia
HG03816,BEB,South Asia
HG03817,BEB,South Asia
HG03821,BEB,South Asia
HG03822,BEB,South Asia
HG03823,BEB,South Asia
HG03824,BEB,South Asia
HG03825,BEB,South Asia
HG03826,BEB,South Asia
HG03829,BEB,South Asia
HG03830,BEB,South Asia
HG03831,BEB,South Asia
HG03832,BEB,South Asia
HG03833,BEB,South Asia
HG03834,BEB,South Asia
HG03835,STU,South Asia
HG03836,STU,South Asia
HG03837,STU,South Asia
HG03838,STU,South Asia
HG03840,STU,South Asia
HG03842,STU,South Asia
HG03844,STU,South Asia
HG03845,STU,South Asia
HG03846,STU,South Asia
HG03847,STU,South Asia
HG03848,STU,South Asia
HG03849,STU,South Asia
HG03850,STU,South Asia
HG03851,STU,South Asia
HG03854,STU,South Asia
HG03856,STU,South Asia
HG03857,STU,South Asia
HG03858,STU,South Asia
HG03861,ITU,South Asia
HG03862,ITU,South Asia
HG03863,ITU,South Asia
HG03864,ITU,South Asia
HG03866,ITU,South Asia
HG03867,ITU,South Asia
HG03868,ITU,South Asia
HG03869,ITU,South Asia
HG03870,ITU,South Asia
HG03871,ITU,South Asia
HG03872,ITU,South Asia
HG03873,ITU,South Asia
HG03874,ITU,South Asia
HG03875,ITU,South Asia
HG03876,ITU,South Asia
HG03879,ITU,South Asia
HG03882,ITU,South Asia
HG03884,STU,South Asia
HG03885,STU,South Asia
HG03886,STU,South Asia
HG03887,STU,South Asia
HG03888,STU,South Asia
HG03890,STU,South Asia
HG03894,STU,South Asia
HG03895,STU,South Asia
HG03896,STU,South Asia
HG03897,STU,South Asia
HG03898,STU,South Asia
HG03899,STU,South Asia
HG03900,STU,South Asia
HG03901,BEB,South Asia
HG03902,BEB,South Asia
HG03903,BEB,South Asia
HG03904,BEB,South Asia
HG03905,BEB,South Asia
HG03906,BEB,South Asia
HG03907,BEB,South Asia
HG03908,BEB,South Asia
HG03909,BEB,South Asia
HG03910,BEB,South Asia
HG03911,BEB,South Asia
HG03913,BEB,South Asia
HG03914,BEB,South Asia
HG03915,BEB,South Asia
HG03916,BEB,South Asia
HG03917,BEB,South Asia
HG03919,BEB,South Asia
HG03920,BEB,South Asia
HG03922,BEB,South Asia
HG03924,BEB,South Asia
HG03925,BEB,South Asia
HG03926,BEB,South Asia
HG03927,BEB,South Asia
HG03928,BEB,South Asia
HG03929,BEB,South Asia
HG03930,BEB,South Asia
HG03931,BEB,South Asia
HG03934,BEB,South Asia
HG03937,BEB,South Asia
HG03939,BEB,South Asia
HG03940,BEB,South Asia
HG03941,BEB,South Asia
HG03942,BEB,South Asia
HG03943,STU,South Asia
HG03944,STU,South Asia
HG03945,STU,South Asia
HG03947,STU,South Asia
HG03948,STU,South Asia
HG03949,STU,South Asia
HG03950,STU,South Asia
HG03951,STU,South Asia
HG03953,STU,South Asia
HG03955,STU,South Asia
HG03960,ITU,South Asia
HG03963,ITU,South Asia
HG03965,ITU,South Asia
HG03967,ITU,South Asia
HG03968,ITU,South Asia
HG03969,ITU,South Asia
HG03971,ITU,South Asia
HG03972,ITU,South Asia
HG03973,ITU,South Asia
HG03974,ITU,South Asia
HG03976,ITU,South Asia
HG03977,ITU,South Asia
HG03978,ITU,South Asia
HG03982,STU,South Asia
HG03985,STU,South Asia
HG03986,STU,South Asia
HG03988,STU,South Asia
HG03989,STU,South Asia
HG03990,STU,South Asia
HG03991,STU,South Asia
HG03992,STU,South Asia
HG03995,STU,South Asia
HG03998,STU,South Asia
HG03999,STU,South Asia
HG04001,ITU,South Asia
HG04002,ITU,South Asia
HG04003,STU,South Asia
HG04006,STU,South Asia
HG04014,ITU,South Asia
HG04015,ITU,South Asia
HG04017,ITU,South Asia
HG04018,ITU,South Asia
HG04019,ITU,South Asia
HG04020,ITU,South Asia
HG04022,ITU,South Asia
HG04023,ITU,South Asia
HG04024,ITU,South Asia
HG04025,ITU,South Asia
HG04026,ITU,South Asia
HG04029,STU,South Asia
HG04033,STU,South Asia
HG04035,STU,South Asia
HG04036,STU,South Asia
HG04037,STU,South Asia
HG04038,STU,South Asia
HG04039,STU,South Asia
HG04040,STU,South Asia
HG04042,STU,South Asia
HG04047,STU,South Asia
HG04050,ITU,South Asia
HG04053,ITU,South Asia
HG04054,ITU,South Asia
HG04055,ITU,South Asia
HG04056,ITU,South Asia
HG04058,ITU,South Asia
HG04059,ITU,South Asia
HG04060,ITU,South Asia
HG04061,ITU,South Asia
HG04062,ITU,South Asia
HG04063,ITU,South Asia
HG04067,STU,South Asia
HG04070,ITU,South Asia
HG04075,STU,South Asia
HG04076,ITU,South Asia
HG04080,ITU,South Asia
HG04090,ITU,South Asia
HG04093,ITU,South Asia
HG04094,ITU,South Asia
HG04096,ITU,South Asia
HG04098,ITU,South Asia
HG04099,STU,South Asia
HG04100,STU,South Asia
HG04106,STU,South Asia
HG04107,STU,South Asia
HG04114,STU,South Asia
HG04115,STU,South Asia
HG04118,ITU,South Asia
HG04122,STU,South Asia
HG04127,STU,South Asia
HG04128,BEB,South Asia
HG04131,BEB,South Asia
HG04132,BEB,South Asia
HG04133,BEB,South Asia
HG04134,BEB,South Asia
HG04135,BEB,South Asia
HG04136,BEB,South Asia
HG04140,BEB,South Asia
HG04141,BEB,South Asia
HG04142,BEB,South Asia
HG04144,BEB,South Asia
HG04146,BEB,South Asia
HG04147,BEB,South Asia
HG04148,BEB,South Asia
HG04149,BEB,South Asia
HG04150,BEB,South Asia
HG04151,BEB,South Asia
HG04152,BEB,South Asia
HG04153,BEB,South Asia
HG04155,BEB,South Asia
HG04156,BEB,South Asia
HG04157,BEB,South Asia
HG04158,BEB,South Asia
HG04159,BEB,South Asia
HG04160,BEB,South Asia
HG04161,BEB,South Asia
HG04162,BEB,South Asia
HG04164,BEB,South Asia
HG04171,BEB,South Asia
HG04173,BEB,South Asia
HG04174,BEB,South Asia
HG04175,BEB,South Asia
HG04176,BEB,South Asia
HG04177,BEB,South Asia
HG04180,BEB,South Asia
HG04181,BEB,South Asia
HG04182,BEB,South Asia
HG04183,BEB,South Asia
HG04184,BEB,South Asia
HG04185,BEB,South Asia
HG04186,BEB,South Asia
HG04187,BEB,South Asia
HG04188,BEB,South Asia
HG04189,BEB,South Asia
HG04191,BEB,South Asia
HG04192,BEB,South Asia
HG04193,BEB,South Asia
HG04194,BEB,South Asia
HG04195,BEB,South Asia
HG04197,STU,South Asia
HG04198,ITU,South Asia
HG04199,STU,South Asia
HG04200,ITU,South Asia
HG04202,ITU,South Asia
HG04204,STU,South Asia
HG04206,ITU,South Asia
HG04208,STU,South Asia
HG04209,ITU,South Asia
HG04210,STU,South Asia
HG04211,ITU,South Asia
HG04212,ITU,South Asia
HG04214,ITU,South Asia
HG04215,STU,South Asia
HG04216,ITU,South Asia
HG04217,ITU,South Asia
HG04219,ITU,South Asia
HG04222,ITU,South Asia
HG04225,ITU,South Asia
HG04227,STU,South Asia
HG04228,STU,South Asia
HG04229,STU,South Asia
HG04235,ITU,South Asia
HG04238,ITU,South Asia
HG04239,ITU,South Asia
HG04301,GBR,Europe
HG04302,GBR,Europe
HG04303,GBR,Europe
NA06984,CEU,Europe
NA06985,CEU,Europe
NA06986,CEU,Europe
NA06989,CEU,Europe
NA06991,CEU,Europe
NA06993,CEU,Europe
NA06994,CEU,Europe
NA06995,CEU,Europe
NA06997,CEU,Europe
NA07000,CEU,Europe
NA07014,CEU,Europe
NA07019,CEU,Europe
NA07022,CEU,Europe
NA07029,CEU,Europe
NA07031,CEU,Europe
NA07034,CEU,Europe
NA07037,CEU,Europe
NA07045,CEU,Europe
NA07048,CEU,Europe
NA07051,CEU,Europe
NA07055,CEU,Europe
NA07056,CEU,Europe
NA07340,CEU,Europe
NA07345,CEU,Europe
NA07346,CEU,Europe
NA07347,CEU,Europe
NA07348,CEU,Europe
NA07349,CEU,Europe
NA07357,CEU,Europe
NA07435,CEU,Europe
NA10830,CEU,Europe
NA10831,CEU,Europe
NA10835,CEU,Europe
NA10836,CEU,Europe
NA10837,CEU,Europe
NA10838,CEU,Europe
NA10839,CEU,Europe
NA10840,CEU,Europe
NA10842,CEU,Europe
NA10843,CEU,Europe
NA10845,CEU,Europe
NA10846,CEU,Europe
NA10847,CEU,Europe
NA10850,CEU,Europe
NA10851,CEU,Europe
NA10852,CEU,Europe
NA10853,CEU,Europe
NA10854,CEU,Europe
NA10855,CEU,Europe
NA10856,CEU,Europe
NA10857,CEU,Europe
NA10859,CEU,Europe
NA10860,CEU,Europe
NA10861,CEU,Europe
NA10863,CEU,Europe
NA10864,CEU,Europe
NA10865,CEU,Europe
NA11829,CEU,Europe
NA11830,CEU,Europe
NA11831,CEU,Europe
NA11832,CEU,Europe
NA11839,CEU,Europe
NA11840,CEU,Europe
NA11843,CEU,Europe
NA11881,CEU,Europe
NA11882,CEU,Europe
NA11891,CEU,Europe
NA11892,CEU,Europe
NA11893,CEU,Europe
NA11894,CEU,Europe
NA11917,CEU,Europe
NA11918,CEU,Europe
NA11919,CEU,Europe
NA11920,CEU,Europe
NA11930,CEU,Europe
NA11931,CEU,Europe
NA11932,CEU,Europe
NA11933,CEU,Europe
NA11992,CEU,Europe
NA11993,CEU,Europe
NA11994,CEU,Europe
NA11995,CEU,Europe
NA12003,CEU,Europe
NA12004,CEU,Europe
NA12005,CEU,Europe
NA12006,CEU,Europe
NA12043,CEU,Europe
NA12044,CEU,Europe
NA12045,CEU,Europe
NA12046,CEU,Europe
NA12056,CEU,Europe
NA12057,CEU,Europe
NA12058,CEU,Europe
NA12144,CEU,Europe
NA12145,CEU,Europe
NA12146,CEU,Europe
NA12154,CEU,Europe
NA12155,CEU,Europe
NA12156,CEU,Europe
NA12234,CEU,Europe
NA12239,CEU,Europe
NA12248,CEU,Europe
NA12249,CEU,Europe
NA12264,CEU,Europe
NA12272,CEU,Europe
NA12273,CEU,Europe
NA12274,CEU,Europe
NA12275,CEU,Europe
NA12282,CEU,Europe
NA12283,CEU,Europe
NA12286,CEU,Europe
NA12287,CEU,Europe
NA12329,CEU,Europe
NA12335,CEU,Europe
NA12336,CEU,Europe
NA12340,CEU,Europe
NA12341,CEU,Europe
NA12342,CEU,Europe
NA12343,CEU,Europe
NA12344,CEU,Europe
NA12347,CEU,Europe
NA12348,CEU,Europe
NA12375,CEU,Europe
NA12376,CEU,Europe
NA12383,CEU,Europe
NA12386,CEU,Europe
NA12399,CEU,Europe
NA12400,CEU,Europe
NA12413,CEU,Europe
NA12414,CEU,Europe
NA12485,CEU,Europe
NA12489,CEU,Europe
NA12546,CEU,Europe
NA12707,CEU,Europe
NA12708,CEU,Europe
NA12716,CEU,Europe
NA12717,CEU,Europe
NA12718,CEU,Europe
NA12739,CEU,Europe
NA12740,CEU,Europe
NA12748,CEU,Europe
NA12749,CEU,Europe
NA12750,CEU,Europe
NA12751,CEU,Europe
NA12752,CEU,Europe
NA12753,CEU,Europe
NA12760,CEU,Europe
NA12761,CEU,Europe
NA12762,CEU,Europe
NA12763,CEU,Europe
NA12766,CEU,Europe
NA12767,CEU,Europe
NA12775,CEU,Europe
NA12776,CEU,Europe
NA12777,CEU,Europe
NA12778,CEU,Europe
NA12801,CEU,Europe
NA12802,CEU,Europe
NA12812,CEU,Europe
NA12813,CEU,Europe
NA12814,CEU,Europe
NA12815,CEU,Europe
NA12817,CEU,Europe
NA12818,CEU,Europe
NA12827,CEU,Europe
NA12828,CEU,Europe
NA12829,CEU,Europe
NA12830,CEU,Europe
NA12832,CEU,Europe
NA12842,CEU,Europe
NA12843,CEU,Europe
NA12864,CEU,Europe
NA12865,CEU,Europe
NA12872,CEU,Europe
NA12873,CEU,Europe
NA12874,CEU,Europe
NA12875,CEU,Europe
NA12877,CEU,Europe
NA12878,CEU,Europe
NA12889,CEU,Europe
NA12890,CEU,Europe
NA12891,CEU,Europe
NA12892,CEU,Europe
NA18484,YRI,Africa
NA18485,YRI,Africa
NA18486,YRI,Africa
NA18487,YRI,Africa
NA18488,YRI,Africa
NA18489,YRI,Africa
NA18497,YRI,Africa
NA18498,YRI,Africa
NA18499,YRI,Africa
NA18500,YRI,Africa
NA18501,YRI,Africa
NA18502,YRI,Africa
NA18503,YRI,Africa
NA18504,YRI,Africa
NA18505,YRI,Africa
NA18506,YRI,Africa
NA18507,YRI,Africa
NA18508,YRI,Africa
NA18509,YRI,Africa
NA18510,YRI,Africa
NA18511,YRI,Africa
NA18515,YRI,Africa
NA18516,YRI,Africa
NA18517,YRI,Africa
NA18518,YRI,Africa
NA18519,YRI,Africa
NA18520,YRI,Africa
NA18521,YRI,Africa
NA18522,YRI,Africa
NA18523,YRI,Africa
NA18525,CHB,East Asia
NA18526,CHB,East Asia
NA18527,CHB,East Asia
NA18528,CHB,East Asia
NA18530,CHB,East Asia
NA18531,CHB,East Asia
NA18532,CHB,East Asia
NA18533,CHB,East Asia
NA18534,CHB,East Asia
NA18535,CHB,East Asia
NA18536,CHB,East Asia
NA18537,CHB,East Asia
NA18538,CHB,East Asia
NA18539,CHB,East Asia
NA18541,CHB,East Asia
NA18542,CHB,East Asia
NA18543,CHB,East Asia
NA18544,CHB,East Asia
NA18545,CHB,East Asia
NA18546,CHB,East Asia
NA18547,CHB,East Asia
NA18548,CHB,East Asia
NA18549,CHB,East Asia
NA18550,CHB,East Asia
NA18552,CHB,East Asia
NA18553,CHB,East Asia
NA18555,CHB,East Asia
NA18557,CHB,East Asia
NA18558,CHB,East Asia
NA18559,CHB,East Asia
NA18560,CHB,East Asia
NA18561,CHB,East Asia
NA18562,CHB,East Asia
NA18563,CHB,East Asia
NA18564,CHB,East Asia
NA18565,CHB,East Asia
NA18566,CHB,East Asia
NA18567,CHB,East Asia
NA18570,CHB,East Asia
NA18571,CHB,East Asia
NA18572,CHB,East Asia
NA18573,CHB,East Asia
NA18574,CHB,East Asia
